city,temp,feels_like,temp_min,temp_max,wind_speed,precipitation,date_time,sunrise,sunset,type
St Albans,4.52,4.52,2.66,6.8,1.03,0.0,2022-11-19 23:26:29,2022-11-19 07:26:56,2022-11-19 16:06:45,Current
St Albans,4.52,2.34,4.52,5.33,2.49,0.0,2022-11-20 00:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,5.05,2.69,5.05,6.12,2.83,0.0,2022-11-20 03:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,6.21,3.01,6.21,7.06,4.66,1.15,2022-11-20 06:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,7.98,4.98,7.98,7.98,5.2,0.33,2022-11-20 09:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,8.77,5.57,8.77,8.77,6.32,0.0,2022-11-20 12:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,8.16,5.39,8.16,8.16,4.75,0.0,2022-11-20 15:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,7.28,4.89,7.28,7.28,3.58,1.35,2022-11-20 18:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,4.94,1.89,4.94,4.94,3.82,0.0,2022-11-20 21:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,4.45,1.43,4.45,4.45,3.6,0.0,2022-11-21 00:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,4.3,1.91,4.3,4.3,2.69,0.0,2022-11-21 03:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,4.91,2.49,4.91,4.91,2.88,0.0,2022-11-21 06:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,6.63,3.42,6.63,6.63,4.91,0.0,2022-11-21 09:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,9.16,5.86,9.16,9.16,7.01,0.27,2022-11-21 12:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,7.98,4.03,7.98,7.98,8.05,2.23,2022-11-21 15:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,6.95,2.12,6.95,6.95,10.22,6.19,2022-11-21 18:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,7.41,6.24,7.41,7.41,1.93,0.0,2022-11-21 21:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,5.24,-0.29,5.24,5.24,10.78,0.52,2022-11-22 00:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,5.29,0.19,5.29,5.29,9.22,0.81,2022-11-22 03:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,5.12,-0.07,5.12,5.12,9.32,0.31,2022-11-22 06:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,5.65,0.39,5.65,5.65,10.23,1.44,2022-11-22 09:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,6.09,1.18,6.09,6.09,9.44,1.63,2022-11-22 12:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,7.31,3.36,7.31,7.31,7.4,0.1,2022-11-22 15:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,5.48,2.19,5.48,5.48,4.49,0.0,2022-11-22 18:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,4.57,2.11,4.57,4.57,2.84,0.0,2022-11-22 21:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,4.49,2.43,4.49,4.49,2.35,0.0,2022-11-23 00:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,5.88,2.85,5.88,5.88,4.17,0.0,2022-11-23 03:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,7.03,3.59,7.03,7.03,5.69,0.67,2022-11-23 06:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,6.69,4.81,6.69,6.69,2.62,0.73,2022-11-23 09:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,9.43,6.27,9.43,9.43,6.78,0.12,2022-11-23 12:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,8.89,5.34,8.89,8.89,7.59,0.15,2022-11-23 15:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,7.47,3.64,7.47,7.47,7.14,0.0,2022-11-23 18:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,7.33,3.38,7.33,7.33,7.4,0.0,2022-11-23 21:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,6.31,2.15,6.31,6.31,7.14,0.0,2022-11-24 00:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,6.35,2.54,6.35,6.35,6.17,0.0,2022-11-24 03:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,5.35,2.27,5.35,5.35,4.04,0.0,2022-11-24 06:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,6.53,4.19,6.53,6.53,3.23,0.0,2022-11-24 09:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,10.25,9.39,10.25,10.25,8.02,0.0,2022-11-24 12:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,10.04,9.24,10.04,10.04,9.48,0.0,2022-11-24 15:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,9.92,5.77,9.92,9.92,11.69,2.67,2022-11-24 18:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
St Albans,9.36,5.96,9.36,9.36,7.54,0.21,2022-11-24 21:00:00,2022-11-19 07:26:56,2022-11-19 16:06:45,Forecast
